ANNEE,REALISE_TOTAL_FRAIS,REALISE_TOTAL_GEL,REALISE_TOTAL_FFL,month_period,dernier_jour_ferie,prochain_jour_ferie,NETTO,GEL,no_dlc,no_code,AFG, 46-001,comp,OPE,INTER, 47-001,PUB,SEC,AFS, 41/52-001,FRAIS,TD,AFF, 43/45/67-001,MEA, 48-001,DLC Longue,TA, 43-002,DLC Courte, 49-004, 49-001, 43-007, 49-007, 49-002,REA, 40-001/41-018, 10-016/40-012/41-006, 41-011/43-019,weekday_sin,weekday_cos,monthday_sin,monthday_cos,mois_sin,mois_cos,semaine_sin,semaine_cos,Temp moy Auvergne,Temp moy Bourgogne,Sem Juin,Sem aout,Sem dec,vacances_zone_a,vacances_zone_b,vacances_zone_c,nom_vacances_Ascen,nom_vacances_halloween,nom_vacances_spring,nom_vacances_summer,nom_vacances_winter,nom_vacances_xmas,to_holydays_a,to_holydays_b,to_holydays_c,from_holydays_a,from_holydays_b,from_holydays_c
1,99296.0,10577.0,28750.0,2,-84,10,23,34,112,37,13,5,51,43,45,8,17,46,24,18,44,24,31,15,25,6,12,7,2,12,6,3,2,2,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.8486442574947509,0.5289640103269624,1.0,6.123233995736766e-17,0.9957341762950344,0.092268359463302,8.338333333333333,8.731666666666667,0,0,0,0,0,0,0,0,0,0,0,0,15,29,22,33,19,26
1,87856.0,5600.0,17039.0,2,-85,9,23,34,112,37,13,5,51,43,45,8,17,46,24,18,44,24,31,15,25,6,12,7,2,12,6,3,2,2,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,-0.72479278722912,0.6889669190756865,1.0,6.123233995736766e-17,0.9957341762950344,0.092268359463302,8.091666666666667,8.208333333333334,0,0,0,0,0,0,0,0,0,0,0,0,14,28,21,34,20,27
1,94602.0,12388.0,18231.0,2,-87,7,23,34,110,37,13,5,51,42,44,8,16,44,24,18,45,23,30,14,25,6,12,7,2,12,6,3,2,2,1,0,0,0,0,0.0,1.0,-0.3943558551133187,0.9189578116202306,1.0,6.123233995736766e-17,0.999525719713366,-0.0307950585561704,10.131666666666666,9.41,0,0,0,0,0,0,0,0,0,0,0,0,12,26,19,36,22,29
1,112210.0,12002.0,17178.0,2,-88,6,24,34,146,51,13,5,66,57,63,8,21,62,38,31,64,27,36,18,30,7,16,9,4,12,6,3,2,2,1,0,0,0,0,0.7818314824680298,0.6234898018587336,-0.2012985200886611,0.9795299412524944,1.0,6.123233995736766e-17,0.999525719713366,-0.0307950585561704,10.706666666666669,10.546666666666669,0,0,0,0,0,0,0,0,0,0,0,0,11,25,18,37,23,30
1,112233.0,13562.0,20233.0,2,-89,5,24,34,146,51,13,5,66,57,63,8,21,62,38,31,64,27,36,18,30,7,16,9,4,12,6,3,2,2,1,0,0,0,0,0.9749279121818236,-0.2225209339563143,-2.4492935982947064e-16,1.0,1.0,6.123233995736766e-17,0.999525719713366,-0.0307950585561704,11.281666666666666,10.81,0,0,0,0,0,0,0,0,0,0,0,0,10,24,17,38,24,31
1,126011.0,14064.0,27094.0,1,-90,4,25,34,152,54,13,5,68,60,65,8,22,66,41,33,64,27,36,18,30,8,16,9,4,12,6,3,2,2,1,0,0,0,0,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,0.8660254037844387,-0.4999999999999998,0.999525719713366,-0.0307950585561704,9.491666666666664,10.05,0,0,0,0,0,0,0,0,0,0,0,0,9,23,16,39,25,32
1,125639.0,13838.0,33706.0,1,-91,3,25,34,152,54,13,5,68,60,65,8,22,66,41,33,64,27,36,18,30,8,16,9,4,12,6,3,2,2,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.3943558551133185,0.9189578116202306,0.8660254037844387,-0.4999999999999998,0.999525719713366,-0.0307950585561704,9.946666666666667,10.258333333333336,0,0,0,0,0,0,0,0,0,0,0,0,8,22,15,40,26,33
1,101633.0,9850.0,20072.0,1,-92,2,25,34,152,54,13,5,68,60,65,8,22,66,41,33,64,27,36,18,30,8,16,9,4,12,6,3,2,2,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998,0.999525719713366,-0.0307950585561704,10.265,10.033333333333331,0,0,0,0,0,0,0,0,0,0,0,0,7,21,14,41,27,34
1,111766.0,13024.0,18879.0,0,-1,25,27,60,146,53,14,6,70,56,61,8,18,62,39,31,61,26,35,16,32,8,16,9,4,14,7,3,2,2,1,0,0,0,0,0.7818314824680298,0.6234898018587336,0.9377521321470804,0.3473052528448203,0.8660254037844387,-0.4999999999999998,0.9881654720812594,-0.1533916548786853,9.968333333333334,9.496666666666668,0,0,0,0,0,0,0,0,0,0,0,0,4,18,11,44,30,37
1,101785.0,14357.0,20468.0,0,-2,24,28,60,146,53,14,6,70,57,61,8,19,62,39,31,29,27,36,16,32,8,18,9,4,14,7,4,2,2,1,0,0,0,0,0.9749279121818236,-0.2225209339563143,0.9884683243281114,0.1514277775045767,0.8660254037844387,-0.4999999999999998,0.9881654720812594,-0.1533916548786853,9.705,9.97,0,0,0,0,0,0,0,0,0,0,0,0,3,17,10,45,31,38
1,103882.0,13737.0,25079.0,0,-3,23,28,60,146,53,14,6,70,57,61,8,19,62,39,31,29,27,36,16,32,8,18,9,4,14,7,4,2,2,1,0,0,0,0,0.4338837391175582,-0.900968867902419,0.9987165071710528,-0.0506491688387126,0.8660254037844387,-0.4999999999999998,0.9881654720812594,-0.1533916548786853,10.308333333333334,10.713333333333331,0,0,0,0,0,0,0,0,0,0,0,0,2,16,9,46,32,39
1,111923.0,13784.0,29977.0,0,-4,22,28,60,146,53,14,6,70,57,61,8,19,62,39,31,29,27,36,16,32,8,18,9,4,14,7,4,2,2,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.9680771188662044,-0.2506525322587204,0.8660254037844387,-0.4999999999999998,0.9881654720812594,-0.1533916548786853,11.653333333333334,11.781666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,15,8,47,33,40
1,93357.0,8788.0,18876.0,0,-5,21,28,60,146,53,14,6,70,57,61,8,19,62,39,31,29,27,36,16,32,8,18,9,4,14,7,4,2,2,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8978045395707416,-0.4403941515576344,0.8660254037844387,-0.4999999999999998,0.9881654720812594,-0.1533916548786853,12.135,12.085,0,0,0,1,0,0,0,0,1,0,0,0,0,14,7,0,34,41
1,100084.0,11240.0,19451.0,0,-7,19,28,60,146,52,14,6,70,57,61,8,19,59,38,30,62,28,37,17,32,8,18,9,4,14,7,4,2,2,1,0,0,0,0,0.0,1.0,0.6513724827222223,-0.758758122692791,0.8660254037844387,-0.4999999999999998,0.9618256431728192,-0.2736629900720826,10.403333333333332,10.699999999999998,0,0,0,1,0,0,0,0,1,0,0,0,0,12,5,0,36,43
1,116508.0,12851.0,18285.0,0,-8,18,29,60,146,52,14,6,70,58,61,8,20,59,38,30,30,29,38,17,32,8,20,9,4,14,7,5,2,2,1,0,0,0,0,0.7818314824680298,0.6234898018587336,0.485301962531081,-0.8743466161445821,0.8660254037844387,-0.4999999999999998,0.9618256431728192,-0.2736629900720826,9.958333333333334,10.05,0,0,0,1,0,0,0,0,1,0,0,0,0,11,4,0,37,44
1,110432.0,12109.0,19583.0,0,-9,17,29,60,146,52,14,6,70,58,61,8,20,59,38,30,30,29,38,17,32,8,20,9,4,14,7,5,2,2,1,0,0,0,0,0.9749279121818236,-0.2225209339563143,0.299363122973358,-0.9541392564000488,0.8660254037844387,-0.4999999999999998,0.9618256431728192,-0.2736629900720826,9.578333333333331,8.924999999999999,0,0,0,1,0,0,0,0,1,0,0,0,0,10,3,0,38,45
